Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_sd,D/loss_td,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td
0:09:41,8900,-0.1573,0.0557,0.4199,2.7112,0.0013,0.0278,0.0574,-0.0543,0.0470,0.0380,2.7065,0.0460,0.0006
0:09:45,9000,-0.1948,0.0980,0.7968,2.6905,0.0010,0.0336,0.0011,-0.1058,0.0453,0.1000,2.7002,0.0564,0.0000
0:10:22,9100,-0.1555,0.0551,0.3664,2.7045,0.0023,0.0299,0.0184,-0.0573,0.0456,0.0457,2.7064,0.0491,0.0000
0:10:25,9200,-0.1414,0.0467,0.3816,2.7084,0.0013,0.0005,0.0806,-0.0463,0.0427,0.0453,2.7428,0.0448,0.0066
0:10:29,9300,-0.1469,0.0652,0.4898,2.7200,0.0022,0.0124,0.0094,-0.0609,0.0406,0.0929,2.6917,0.0385,0.0000
0:10:32,9400,-0.1420,0.0668,0.4578,2.7311,0.0019,0.0343,0.0084,-0.0609,0.0418,0.0695,2.7112,0.0453,0.0001
0:10:36,9500,-0.1398,0.0566,0.3265,2.7259,0.0014,0.0057,0.0087,-0.0573,0.0484,0.0553,2.6943,0.0464,0.0004
0:10:39,9600,-0.2485,0.1175,0.4113,2.7387,0.0014,0.0001,0.5127,-0.1086,0.0453,0.0541,2.7214,0.0568,0.0000
0:10:42,9700,-0.1317,0.0491,0.2583,2.7300,0.0012,0.0042,0.0083,-0.0457,0.0429,0.0568,2.7318,0.0445,0.0057
0:10:45,9800,-0.1546,0.0801,0.4429,2.7413,0.0010,0.0009,0.1485,-0.0795,0.0435,0.0567,2.7158,0.0429,0.0467
0:10:49,9900,-0.1395,0.0643,0.2585,2.6962,0.0013,0.0068,0.0165,-0.0600,0.0422,0.0277,2.6725,0.0385,0.0000
0:10:53,10000,-0.1341,0.0287,0.3022,2.7042,0.0020,0.0870,0.0090,-0.0256,0.0459,0.0408,2.7197,0.0480,0.0000
0:14:38,10100,-0.1432,0.0514,0.5422,2.7321,0.0009,0.0290,0.0285,-0.0581,0.0472,0.0981,2.7101,0.0445,0.0000
0:14:41,10200,-0.1367,0.0340,0.1839,2.6829,0.0015,0.0365,0.0627,-0.0390,0.0486,0.0387,2.6910,0.0461,0.0067
0:14:45,10300,-0.1399,0.0547,0.3567,2.7215,0.0014,0.0300,0.0016,-0.0537,0.0422,0.0951,2.7211,0.0382,0.0000
0:14:49,10400,-0.1152,0.0338,0.3189,2.7209,0.0016,0.6339,0.0001,-0.0299,0.0419,0.0430,2.7230,0.0385,0.5504
0:14:53,10500,-0.1520,0.0167,0.5079,2.7122,0.0020,0.0033,0.0185,-0.0140,0.0480,0.0634,2.7300,0.0536,0.0000
0:14:56,10600,-0.1280,0.0455,0.4141,2.7078,0.0017,0.0016,0.0631,-0.0452,0.0401,0.0537,2.6982,0.0449,0.0000
0:14:59,10700,-0.1318,0.0509,0.5835,2.7197,0.0009,0.0014,0.0286,-0.0509,0.0383,0.0484,2.7048,0.0418,0.0008
0:15:03,10800,-0.1905,0.0558,0.5338,2.7257,0.0022,0.0036,0.0043,-0.0562,0.0486,0.0458,2.7164,0.0563,0.0193
0:15:06,10900,-0.1170,0.0198,0.1824,2.7412,0.0014,0.0011,0.0632,-0.0224,0.0439,0.0342,2.7146,0.0416,0.0000
0:15:10,11000,-0.1812,0.0919,0.1812,2.7165,0.0026,0.0314,0.0006,-0.1039,0.0512,0.0668,2.7283,0.0455,0.0000
0:15:47,11100,-0.1416,0.0477,0.3871,2.7196,0.0022,0.0016,0.0034,-0.0431,0.0430,0.0793,2.7225,0.0548,0.0000
0:15:51,11200,-0.1021,-0.1187,0.3568,2.7068,0.0033,0.0262,0.0007,0.1373,0.1389,2.1664,2.7232,0.1259,0.0000
0:15:54,11300,-0.1255,-0.0261,0.4822,2.7544,0.0017,0.0266,0.0004,0.0286,0.0537,0.0612,2.7237,0.0900,0.0000
0:15:57,11400,-0.1116,-0.0243,0.3540,2.7299,0.0029,0.0292,0.0133,0.0251,0.0482,0.0603,2.7378,0.0813,0.0005
0:16:01,11500,-0.0931,0.0094,0.3083,2.7028,0.0025,0.0469,0.0027,-0.0072,0.0454,0.0696,2.7042,0.0486,0.0001
0:16:04,11600,-0.1445,0.0295,0.2030,2.7004,0.0017,0.0103,0.0085,-0.0279,0.0489,0.0597,2.6841,0.0588,0.0548
0:16:08,11700,-0.1637,0.0712,0.4351,2.7390,0.0015,0.0079,0.0192,-0.0723,0.0518,0.0553,2.7147,0.0518,0.0029
0:16:11,11800,-0.1092,0.0372,0.6169,2.7275,0.0010,0.0173,0.0016,-0.0405,0.0392,0.0330,2.6944,0.0418,0.0000
0:16:14,11900,-0.1513,0.0611,0.5334,2.7201,0.0023,0.0059,0.0512,-0.0668,0.0463,0.1012,2.7266,0.0471,0.0000
0:16:18,12000,-0.1411,0.0688,0.3458,2.7187,0.0018,0.0012,0.0157,-0.0695,0.0467,0.0843,2.6993,0.0464,0.0017
0:16:55,12100,-0.2221,0.0040,0.1724,2.7024,0.0010,0.0010,0.1150,-0.0042,0.0567,0.1063,2.6829,0.1015,0.0144
0:16:58,12200,-0.2052,0.0650,0.3936,2.6834,0.0015,0.0000,0.0056,-0.0746,0.0473,0.0636,2.6895,0.0717,0.0247
0:17:02,12300,-0.2465,0.0683,0.7094,2.7396,0.0017,0.0000,0.4626,-0.0622,0.0521,0.1044,2.6939,0.0803,0.0000
0:17:05,12400,-0.1199,0.0343,0.4069,2.7064,0.0020,0.0359,0.0086,-0.0368,0.0464,0.1026,2.7023,0.0443,0.0000
0:17:09,12500,-0.0965,-0.0801,0.2034,2.7233,0.0022,0.0133,0.0012,0.0827,0.0434,0.0839,2.7036,0.0438,0.0002
0:17:12,12600,-0.1085,0.0064,0.3905,2.7177,0.0014,0.0082,0.0038,-0.0056,0.0473,0.0315,2.6835,0.0459,0.0024
0:17:16,12700,-0.2035,0.0597,0.3499,2.7344,0.0019,0.0006,0.0001,-0.0544,0.0462,0.0884,2.7276,0.0570,0.0000
0:17:19,12800,-0.1208,0.0300,0.3738,2.6885,0.0008,0.0060,0.0890,-0.0259,0.0434,0.0329,2.6926,0.0429,0.0006
0:17:23,12900,-0.1459,0.0561,0.3273,2.7340,0.0013,0.0004,0.0178,-0.0544,0.0409,0.0525,2.6882,0.0399,0.0000
0:17:26,13000,-0.2443,0.0474,0.4620,2.7622,0.0035,0.0006,0.0065,-0.0487,0.0607,0.0579,2.7575,0.0862,0.0000
0:18:04,13100,-0.1920,0.0849,0.5332,2.7105,0.0016,0.0007,0.0096,-0.0865,0.0550,0.0427,2.7161,0.0584,0.0001
0:18:07,13200,-0.1450,0.0322,0.3988,2.6903,0.0013,0.0006,0.0007,-0.0382,0.0498,0.0798,2.7094,0.0513,0.0000
0:18:10,13300,-0.1126,0.0185,0.6632,2.7204,0.0006,0.0016,0.0446,-0.0165,0.0385,0.0688,2.7245,0.0386,0.0000
0:18:14,13400,-0.1035,0.0184,0.5561,2.7139,0.0007,0.0009,0.1394,-0.0177,0.0395,0.0368,2.7068,0.0372,0.0001
0:18:18,13500,-0.1664,0.0726,0.5284,2.7337,0.0011,0.0845,0.0157,-0.0734,0.0472,0.0703,2.7339,0.0404,0.0000
0:18:21,13600,-0.1003,0.0215,0.5071,2.7211,0.0008,0.0006,0.0677,-0.0191,0.0352,0.0411,2.7094,0.0349,0.0000
0:18:24,13700,-0.1354,0.0462,0.2651,2.7111,0.0021,0.0005,0.0405,-0.0442,0.0451,0.0421,2.7008,0.0405,0.0000
0:18:28,13800,-0.1227,0.0422,0.3732,2.7308,0.0019,0.0012,0.0073,-0.0489,0.0458,0.0672,2.7213,0.0427,0.0002
0:18:31,13900,-0.1399,0.0555,0.2712,2.7350,0.0014,0.0005,0.0026,-0.0468,0.0494,0.0486,2.6947,0.0455,0.0000
0:18:35,14000,-0.1088,0.0267,0.2691,2.7274,0.0024,0.0591,0.0017,-0.0232,0.0414,0.1049,2.7215,0.0383,0.0000
0:19:11,14100,-0.1280,0.0546,0.2679,2.7145,0.0012,0.0008,0.0004,-0.0559,0.0460,0.0698,2.7286,0.0416,0.0000
0:19:15,14200,-0.1023,0.0349,0.3699,2.7301,0.0012,0.0025,0.0081,-0.0330,0.0446,0.0285,2.7362,0.0387,0.0005
0:19:18,14300,-0.1700,0.0972,0.7208,2.7039,0.0005,0.0018,0.0015,-0.0998,0.0440,0.1013,2.6961,0.0420,0.0000
0:19:22,14400,-0.1284,0.0331,0.1981,2.6926,0.0022,0.0017,0.0048,-0.0459,0.0485,0.0334,2.6970,0.0436,0.0044
0:19:25,14500,-0.1076,0.0192,0.3531,2.7238,0.0013,0.0243,0.0038,-0.0212,0.0486,0.1267,2.7152,0.0455,0.0000
0:19:29,14600,-0.1458,0.0528,0.3296,2.7538,0.0011,0.0000,0.0520,-0.0559,0.0453,0.1316,2.7654,0.0626,0.0000
0:19:32,14700,-0.1254,0.0539,0.3606,2.7191,0.0012,0.0051,0.0011,-0.0511,0.0488,0.0428,2.6942,0.0399,0.0000
0:19:35,14800,-0.1213,0.0413,0.2820,2.7439,0.0016,0.0156,0.0028,-0.0418,0.0399,0.0298,2.7245,0.0369,0.0000
0:19:39,14900,-0.1482,0.0700,0.3748,2.7020,0.0014,0.0003,0.0032,-0.0676,0.0394,0.0713,2.7152,0.0371,0.0001
0:19:43,15000,-0.1136,0.0392,0.3280,2.7137,0.0012,0.0021,0.0217,-0.0395,0.0408,0.0378,2.7224,0.0368,0.0000
0:20:20,15100,-0.1381,0.0648,0.5133,2.7315,0.0014,0.0017,0.0049,-0.0649,0.0384,0.0670,2.7321,0.0320,0.0000
0:20:23,15200,-0.1063,0.0374,0.3433,2.7186,0.0011,0.0030,0.0000,-0.0288,0.0415,0.1513,2.7013,0.0402,0.0000
0:20:27,15300,-0.1079,0.0042,0.1585,2.7273,0.0017,0.0171,0.0038,-0.0019,0.0448,0.0318,2.7246,0.0447,0.0439
0:20:31,15400,-0.1106,0.0216,0.3643,2.6853,0.0010,0.0001,0.0066,-0.0260,0.0379,0.0495,2.7052,0.0369,0.0000
0:20:34,15500,-0.1528,0.0861,0.1967,2.6894,0.0012,0.0006,0.0047,-0.0892,0.0542,0.0624,2.6978,0.0469,0.0057
0:20:37,15600,-0.1217,0.0412,0.2849,2.6992,0.0019,0.0476,0.0020,-0.0401,0.0408,0.0410,2.7041,0.0345,0.0000
0:20:41,15700,-0.1100,0.0237,0.2324,2.7549,0.0015,0.0143,0.0017,-0.0264,0.0449,0.0240,2.7143,0.0348,0.0000
0:20:44,15800,-0.0867,-0.0054,0.3636,2.7404,0.0017,0.0092,0.0017,-0.0023,0.0420,0.0434,2.7108,0.0380,0.0001
0:20:48,15900,-0.0980,0.0240,0.1563,2.7271,0.0012,0.0013,0.0040,-0.0330,0.0388,0.0210,2.7047,0.0333,0.0004
0:20:51,16000,-0.1379,0.0587,0.3158,2.7189,0.0012,0.0028,0.0067,-0.0640,0.0409,0.1588,2.7042,0.0369,0.0005
0:21:29,16100,-0.1062,0.0480,0.4663,2.7492,0.0011,0.0012,0.0055,-0.0395,0.0421,0.0508,2.7339,0.0371,0.0007
0:21:32,16200,-0.1391,0.0594,0.4476,2.6666,0.0016,0.0004,0.0368,-0.0656,0.0518,0.0423,2.6924,0.0507,0.0004
0:21:36,16300,-0.0811,0.0034,0.4114,2.7528,0.0010,0.0778,0.0003,-0.0026,0.0473,0.1367,2.7370,0.0417,0.0000
0:21:39,16400,-0.0937,0.0212,0.2755,2.7194,0.0012,0.0047,0.0000,-0.0173,0.0420,0.0649,2.7320,0.0371,0.0000
0:21:43,16500,-0.0939,0.0149,0.2316,2.7326,0.0011,0.0140,0.0012,-0.0106,0.0346,0.0780,2.7192,0.0316,0.0001
0:21:46,16600,-0.1207,-0.0048,0.4145,2.7185,0.0023,0.0008,0.0006,-0.0025,0.0462,0.0278,2.7170,0.0507,0.0000
0:21:49,16700,-0.1195,0.0219,0.4767,2.7242,0.0540,0.0019,0.0016,-0.0535,0.0453,0.0728,2.7101,0.0375,0.0000
0:21:53,16800,-0.1505,0.0451,0.5023,2.7458,0.0023,0.0119,0.0148,-0.0418,0.0437,0.2025,2.7429,0.0543,0.0001
0:21:57,16900,-0.0705,-0.0221,0.1807,2.7210,0.0012,0.0120,0.0002,0.0255,0.0386,0.0189,2.6901,0.0367,0.0000
0:22:00,17000,-0.0844,0.0190,0.6586,2.7147,0.0009,0.0012,0.0021,-0.0178,0.0492,0.0694,2.7155,0.0390,0.0000
0:22:37,17100,-0.0775,-0.0008,0.2911,2.7136,0.0009,0.0014,0.0023,-0.0012,0.0348,0.0808,2.7144,0.0322,0.0001
0:22:41,17200,-0.1064,0.0034,0.3337,2.6904,0.0017,0.0005,0.0056,-0.0012,0.0382,0.0524,2.6886,0.0400,0.0001
0:22:45,17300,-0.1023,-0.0073,0.1600,2.7052,0.0018,0.0006,0.0047,0.0076,0.0408,0.0799,2.7154,0.0413,0.0000
0:22:48,17400,-0.1238,0.0479,0.2483,2.7200,0.0007,0.0066,0.0004,-0.0447,0.0505,0.0702,2.7058,0.0417,0.0045
0:22:51,17500,-0.0927,-0.0013,0.2499,2.7226,0.0009,0.0006,0.0002,0.0068,0.0440,0.0312,2.7158,0.0395,0.0000
0:22:55,17600,-0.1044,0.0283,0.3706,2.7311,0.0011,0.0108,0.0003,-0.0269,0.0419,0.0315,2.7212,0.0367,0.0002
0:22:58,17700,-0.1423,0.0646,0.3523,2.7156,0.0010,0.0007,0.0000,-0.0603,0.0417,0.0292,2.7169,0.0405,0.0001
0:23:02,17800,-0.0752,-0.0204,0.5557,2.7095,0.0021,0.0092,0.0016,0.0150,0.0442,0.0589,2.7316,0.0490,0.0000
0:23:05,17900,-0.0877,-0.0067,0.2548,2.7034,0.0010,0.0017,0.0150,0.0079,0.0408,0.0598,2.6984,0.0371,0.0000
