Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:57:22,7800,100000,0.148991,0.118918,0.002261,0.109968,0.110428,0.002191,0.166439,16.495718,0.052122,0.041009,13.241920,0.022796,0.161615,7.869444,0.050638,0.037731,0.209280,0.000127,0.000000
0:58:17,7900,100000,0.119428,0.137077,0.002523,0.109558,0.128282,0.002611,0.138398,14.286728,0.051556,0.041375,15.133162,0.025830,0.136042,6.757274,0.049373,0.037715,0.259396,0.000141,0.000000
0:58:49,8000,100000,0.148586,0.108281,0.001828,0.137763,0.098739,0.001920,0.177360,12.385215,0.046035,0.035976,12.171943,0.031710,0.167965,9.028110,0.037270,0.029922,0.380312,0.000400,0.000000
1:02:18,8100,100000,0.114748,0.129096,0.003052,0.115013,0.121217,0.003133,0.137533,16.534727,0.048783,0.046534,11.683840,0.022235,0.138369,6.449465,0.040019,0.032404,0.469249,0.000191,0.000000
1:02:51,8200,100000,0.132850,0.110872,0.003554,0.103299,0.123438,0.003066,0.145568,12.214385,0.050413,0.039702,16.391167,0.018874,0.140065,4.327331,0.046492,0.037043,0.217052,0.000127,0.000000
1:03:23,8300,100000,0.138937,0.106996,0.002068,0.117030,0.114928,0.002277,0.140665,9.351620,0.048492,0.037340,14.789555,0.022497,0.137830,9.929185,0.036349,0.030923,0.532568,0.000224,0.000000
1:03:54,8400,100000,0.114749,0.118543,0.001878,0.093331,0.123658,0.001868,0.156116,5.980515,0.041570,0.030934,14.765333,0.026023,0.147192,10.729772,0.038764,0.032008,0.287483,0.000121,0.000000
1:04:26,8500,100000,0.123788,0.107720,0.002593,0.110679,0.118039,0.002043,0.145094,10.174875,0.045897,0.036839,16.065865,0.020787,0.142583,14.000166,0.036340,0.030707,0.296829,0.000097,0.000000
1:05:13,8600,100000,0.104603,0.119270,0.001708,0.091093,0.108307,0.001323,0.174358,11.139816,0.032285,0.025593,13.101765,0.020850,0.165525,7.309986,0.030958,0.025723,0.224554,0.000146,0.000000
1:05:46,8700,100000,0.136058,0.114365,0.001809,0.119425,0.130268,0.002124,0.131589,9.407342,0.046216,0.041824,15.828570,0.022367,0.125712,7.976889,0.040472,0.033534,0.280686,0.000069,0.000000
1:06:19,8800,100000,0.137050,0.112438,0.001778,0.118155,0.118651,0.001567,0.139403,8.872614,0.053140,0.042193,15.270340,0.022014,0.138417,8.686033,0.045768,0.037897,0.267740,0.000155,0.000000
1:07:14,8900,100000,0.120000,0.122257,0.001561,0.117475,0.121731,0.001340,0.136617,2.875959,0.043372,0.035439,16.933798,0.020311,0.135203,7.647963,0.036546,0.030941,0.278887,0.000067,0.000000
1:07:46,9000,100000,0.112852,0.124813,0.003127,0.104108,0.116808,0.002521,0.158922,15.462395,0.042434,0.035575,16.655170,0.018677,0.151541,8.769941,0.034902,0.028119,0.437985,0.000114,0.000000
1:08:31,9100,100000,0.122430,0.116434,0.001940,0.113480,0.086072,0.001282,0.190932,7.405329,0.037265,0.031329,12.856103,0.023541,0.187452,17.978197,0.033947,0.025792,0.392257,0.000214,0.000000
1:09:03,9200,100000,0.148160,0.128720,0.002286,0.114063,0.119598,0.002339,0.152770,9.033019,0.041386,0.034585,14.536325,0.023571,0.152498,7.577641,0.036965,0.030556,0.455221,0.000288,0.000000
1:09:35,9300,100000,0.131537,0.164380,0.000750,0.134724,0.121563,0.001152,0.153055,2.426136,0.030942,0.026316,10.799438,0.016609,0.150441,4.031463,0.027817,0.021531,0.160275,0.000050,0.000000
1:10:09,9400,100000,0.138576,0.113573,0.002249,0.120995,0.119261,0.001768,0.130995,6.426094,0.046848,0.042427,14.486620,0.017462,0.130892,7.543071,0.043994,0.039357,0.210325,0.000225,0.000000
1:10:41,9500,100000,0.137560,0.106730,0.000978,0.121196,0.116242,0.001449,0.146367,8.896302,0.042462,0.035159,15.900551,0.021381,0.142375,7.943282,0.034401,0.029011,0.297590,0.000208,0.000000
1:11:28,9600,100000,0.148139,0.127099,0.000859,0.113195,0.118333,0.001188,0.144750,8.477338,0.041308,0.034380,13.416574,0.017427,0.145123,4.855153,0.038526,0.032359,0.233881,0.000096,0.000000
1:12:00,9700,100000,0.123797,0.100821,0.000567,0.114226,0.090628,0.000465,0.170654,10.945414,0.041856,0.035376,14.695820,0.023569,0.168396,15.940025,0.040879,0.033380,0.341778,0.000173,0.000000
1:12:55,9800,100000,0.139597,0.113894,0.003054,0.102013,0.127409,0.003013,0.138844,6.468482,0.061416,0.042921,15.947701,0.016029,0.137119,6.503386,0.056693,0.043171,0.221633,0.000063,0.000000
1:13:28,9900,100000,0.112502,0.121423,0.001210,0.105258,0.117133,0.001156,0.153516,11.891253,0.037911,0.029611,17.628929,0.019939,0.154224,11.871960,0.030387,0.024962,0.383902,0.000060,0.000000
