Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:03:29,18500,100000,0.128314,0.076225,0.028728,0.093192,0.112831,0.017218,0.180489,1.534347,5.484322,0.012418,0.012828,0.134815,0.001232,0.152663,2.282802,9.835223,0.011868,0.012188,0.102295,0.000397,0.000000,0.069980,0.000000
0:04:20,18600,100000,0.093530,0.091879,0.024399,0.097961,0.105442,0.027772,0.195774,5.075973,6.347572,0.011547,0.011592,0.141140,0.001623,0.154964,2.308403,5.279224,0.010777,0.010852,0.121308,0.000237,0.000000,0.071980,0.000000
0:04:57,18700,100000,0.115339,0.085294,0.017890,0.086640,0.108891,0.021071,0.189937,0.880063,8.891886,0.013289,0.013394,0.135822,0.001540,0.153344,3.500567,0.346735,0.012726,0.012515,0.147428,0.000127,0.000000,0.073980,0.000000
0:05:34,18800,100000,0.102590,0.105478,0.031073,0.073831,0.140889,0.021406,0.164579,7.033598,10.773072,0.012698,0.013648,0.517160,0.001061,0.143354,1.817309,4.802952,0.012871,0.013052,0.956322,0.000262,0.000000,0.075980,0.000000
0:06:11,18900,100000,0.100563,0.096930,0.023726,0.077994,0.119172,0.023798,0.178630,2.456846,6.093619,0.013085,0.013432,0.109545,0.001354,0.133312,1.354903,4.437044,0.012658,0.012453,0.484793,0.000133,0.000000,0.077980,0.000000
0:06:48,19000,100000,0.096541,0.077712,0.021663,0.087084,0.094849,0.028722,0.195243,3.552122,8.147277,0.012136,0.012796,0.125108,0.001388,0.156022,8.033746,4.196196,0.011308,0.011723,1.105771,0.000181,0.000000,0.079980,0.000000
0:07:41,19100,100000,0.100681,0.065089,0.021235,0.088779,0.086079,0.025146,0.220771,2.578984,11.397538,0.011435,0.011766,0.110193,0.001148,0.178875,4.054224,5.220220,0.011086,0.010971,1.730400,0.000094,0.000000,0.081980,0.000000
0:08:44,19200,100000,0.113501,0.079432,0.023952,0.089427,0.117070,0.025190,0.175129,0.054893,4.932595,0.013530,0.013661,0.114863,0.001021,0.145194,0.524490,4.262696,0.012687,0.012747,0.557895,0.000065,0.000000,0.083980,0.000000
0:09:21,19300,100000,0.085247,0.091649,0.014321,0.095511,0.094572,0.018690,0.226895,4.266493,5.633418,0.011146,0.010993,0.136276,0.001429,0.182925,1.289871,8.229393,0.010784,0.010635,0.173962,0.000079,0.000000,0.085980,0.000000
0:09:58,19400,100000,0.099522,0.080707,0.028289,0.084794,0.111687,0.016074,0.200949,2.307224,6.521092,0.012184,0.012126,0.147318,0.001377,0.160399,1.132691,5.552064,0.011869,0.011768,1.170810,0.000401,0.000000,0.087980,0.000000
0:10:35,19500,100000,0.106772,0.088860,0.016864,0.099931,0.111200,0.023399,0.177563,1.980649,7.922989,0.011421,0.011695,0.111781,0.001284,0.142837,1.384786,5.195421,0.011095,0.011037,0.649953,0.000172,0.000000,0.089980,0.000000
0:11:29,19600,100000,0.107185,0.080836,0.021954,0.092722,0.121800,0.021325,0.190912,0.064969,5.869103,0.011126,0.011218,0.124328,0.001288,0.144690,1.506767,2.779474,0.010885,0.010730,0.391622,0.000137,0.000000,0.091980,0.000000
0:12:06,19700,100000,0.099028,0.100838,0.025597,0.090056,0.122487,0.030089,0.155827,1.240026,9.633258,0.011549,0.012122,0.127244,0.001192,0.128901,0.446842,5.157312,0.011404,0.011379,0.707257,0.000171,0.000000,0.093980,0.000000
0:12:43,19800,100000,0.087441,0.081678,0.038642,0.058670,0.116350,0.029290,0.209009,8.060116,5.771644,0.016009,0.015737,0.126720,0.001298,0.164370,1.883246,3.873791,0.016597,0.014837,0.445293,0.000072,0.000000,0.095980,0.000000
0:13:20,19900,100000,0.106839,0.060048,0.018093,0.089377,0.071954,0.017321,0.264006,5.946139,6.120881,0.011797,0.012150,0.105139,0.001054,0.225953,0.003896,9.033387,0.010386,0.010793,2.161520,0.000161,0.000000,0.097980,0.000000
0:13:57,20000,100000,0.095412,0.082920,0.027161,0.094887,0.111374,0.030355,0.191727,1.584998,6.583572,0.012712,0.012654,0.108839,0.001315,0.144676,0.007883,7.292895,0.012158,0.012193,0.973586,0.000109,0.000000,0.099980,0.000000
0:23:04,20100,100000,0.110384,0.090348,0.022286,0.090318,0.118159,0.023595,0.168051,7.023456,6.855292,0.012059,0.012040,0.115630,0.001207,0.145959,2.519778,7.825025,0.011704,0.012037,0.478091,0.000086,0.000000,0.100000,0.000000
0:23:41,20200,100000,0.100889,0.081525,0.021618,0.091412,0.098865,0.023940,0.186356,0.213878,11.910809,0.014968,0.015137,0.106591,0.001185,0.162425,3.771846,7.894708,0.012704,0.013129,1.775748,0.000115,0.000000,0.100000,0.000000
0:24:18,20300,100000,0.122281,0.083783,0.027884,0.073359,0.116791,0.020140,0.208510,0.206313,10.888042,0.014559,0.015363,0.106576,0.001325,0.174864,2.000952,0.357018,0.013945,0.013963,1.704844,0.000127,0.000000,0.100000,0.000000
0:25:17,20400,100000,0.123549,0.103340,0.034599,0.070528,0.135270,0.025382,0.156688,1.526873,4.983998,0.013157,0.013489,0.112088,0.001045,0.130270,1.149059,1.299816,0.013008,0.012984,1.283161,0.000191,0.000000,0.100000,0.000000
0:25:54,20500,100000,0.085889,0.087203,0.073364,0.084088,0.120215,0.016909,0.239612,0.030524,10.861342,0.012178,0.012040,0.101850,0.001056,0.192491,2.842733,6.206476,0.011109,0.011014,0.397858,0.000158,0.000000,0.100000,0.000000
0:26:47,20600,100000,0.113595,0.081335,0.021662,0.089506,0.121116,0.023057,0.187499,0.485072,7.000036,0.011357,0.012306,0.090770,0.000862,0.144491,2.405085,4.796525,0.011162,0.011825,0.218035,0.000129,0.000000,0.100000,0.000000
0:27:24,20700,100000,0.106339,0.070811,0.022199,0.092224,0.101616,0.018967,0.249029,0.674144,10.872143,0.010808,0.011362,0.102164,0.001024,0.170843,0.705359,4.707469,0.010371,0.010671,1.801091,0.000125,0.000000,0.100000,0.000000
0:28:01,20800,100000,0.093849,0.077405,0.035537,0.071823,0.133465,0.023463,0.204012,2.081850,8.519731,0.014929,0.015269,0.130260,0.001306,0.149172,1.917696,6.968867,0.014243,0.014117,0.357402,0.000176,0.000000,0.100000,0.000000
0:28:37,20900,100000,0.092209,0.105764,0.041244,0.081928,0.121719,0.024538,0.169126,0.241247,9.263494,0.013175,0.013020,0.122675,0.001367,0.146588,1.721604,5.763306,0.013303,0.012155,0.348972,0.000094,0.000000,0.100000,0.000000
0:29:14,21000,100000,0.099996,0.063481,0.025968,0.075382,0.081802,0.024297,0.248184,3.554846,4.556183,0.013108,0.013690,0.100182,0.001075,0.201950,1.855650,1.663980,0.012476,0.012647,1.897061,0.000056,0.000000,0.100000,0.000000
0:30:06,21100,100000,0.096951,0.075415,0.018750,0.087082,0.108674,0.018493,0.251464,0.621100,8.412431,0.013175,0.013319,0.112307,0.001076,0.177946,2.471601,0.803151,0.012454,0.012522,0.191204,0.000291,0.000000,0.100000,0.000000
0:30:43,21200,100000,0.120625,0.060076,0.023275,0.086004,0.106454,0.019047,0.208701,0.248988,7.398317,0.012231,0.012183,0.107951,0.001022,0.160712,2.740674,1.619198,0.012318,0.011816,1.510455,0.000188,0.000000,0.100000,0.000000
