Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:06:39,7000,-0.2404,0.1053,0.4699,2.7163,0.0016,-0.1100,0.0560,0.0564,2.7263,0.0664
0:07:16,7100,-0.1718,0.0714,0.6102,2.7550,0.0011,-0.0924,0.0457,0.0844,2.7603,0.0434
0:07:19,7200,-0.2284,0.1067,0.7081,2.7118,0.0025,-0.1121,0.0417,0.0748,2.7180,0.0476
0:07:22,7300,-0.2569,0.1492,0.7868,2.7812,0.0012,-0.1500,0.0452,0.0612,2.7657,0.0494
0:07:25,7400,-0.1793,0.0806,0.2699,2.7127,0.0009,-0.0930,0.0465,0.0576,2.7160,0.0478
0:07:28,7500,-0.2461,0.1206,0.5279,2.7312,0.0011,-0.1163,0.0434,0.0653,2.7117,0.0503
0:07:31,7600,-0.2007,-0.0716,0.3786,2.7081,0.0089,-0.0007,0.0629,0.1583,2.7084,0.0874
0:07:33,7700,-0.1743,0.0341,0.5253,2.6979,0.0007,-0.0244,0.0678,1.3594,2.7057,0.0929
0:07:36,7800,-0.1847,0.0415,0.3784,2.6774,0.0034,-0.0389,0.0581,0.0712,2.7138,0.0879
0:07:40,7900,-0.1850,0.0378,0.2647,2.6881,0.0014,-0.0532,0.0484,0.0566,2.7304,0.0600
0:07:42,8000,-0.1553,0.0555,0.2563,2.7327,0.0012,-0.0633,0.0432,0.0529,2.7100,0.0499
0:08:18,8100,-0.2030,0.1308,0.4787,2.7402,0.0012,-0.1288,0.0499,0.0846,2.7096,0.0502
0:08:22,8200,-0.1989,0.1041,0.4259,2.7162,0.0010,-0.0997,0.0444,0.0558,2.7317,0.0406
0:08:24,8300,-0.1990,0.0788,0.4190,2.7357,0.0022,-0.0562,0.0503,0.0415,2.7054,0.0506
0:08:27,8400,-0.2433,0.0910,0.4028,2.7091,0.0021,-0.0835,0.0551,0.0513,2.7025,0.0620
0:08:30,8500,-0.2377,0.0885,0.3698,2.6963,0.0014,-0.0984,0.0500,0.0563,2.7075,0.0701
0:08:32,8600,-0.2035,0.0814,0.2454,2.6932,0.0018,-0.0678,0.0439,0.0416,2.7134,0.0492
0:08:36,8700,-0.1810,0.0863,0.4637,2.7209,0.0014,-0.0910,0.0445,0.0490,2.7255,0.0429
0:08:39,8800,-0.1286,0.0533,0.3940,2.7122,0.0039,-0.0643,0.0442,0.0491,2.7001,0.0487
0:08:41,8900,0.0840,-0.2331,0.4348,2.6839,0.0017,0.2313,0.0461,0.1167,2.7151,0.0551
