Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls
0:21:13,21800,-0.2424,-0.0785,0.0006,0.0023,0.1800,0.0416,0.0016
0:21:18,21900,-0.0927,-0.0928,0.1550,0.0031,0.0714,0.0409,0.0375
0:21:22,22000,-0.0801,-0.1322,0.0056,0.0039,0.1291,0.0303,0.0001
0:21:38,22100,-0.0083,-0.1902,0.0090,0.0112,0.2084,0.0360,0.0010
0:21:42,22200,-0.1277,-0.1327,0.0010,0.0024,0.1396,0.0364,0.0005
0:21:46,22300,-0.1165,-0.1708,0.3321,0.0097,0.1668,0.0421,0.0107
0:21:51,22400,-0.1789,-0.0238,0.0293,0.0016,0.0471,0.0380,0.0013
0:21:56,22500,-0.2673,-0.0222,0.0075,0.0055,0.0609,0.0380,0.0011
0:22:00,22600,-0.1429,-0.0760,0.0011,0.0019,0.0840,0.0317,0.0005
0:22:05,22700,-0.1759,-0.1256,0.0101,0.0065,0.1278,0.0411,0.0045
0:22:09,22800,-0.2512,-0.0545,0.0154,0.0041,0.0380,0.0387,0.0015
0:22:14,22900,-0.0787,-0.1249,0.0068,0.0034,0.1338,0.0370,0.0002
0:22:19,23000,-0.1756,-0.0163,0.0003,0.0052,0.0761,0.0363,0.0001
0:22:33,23100,-0.1689,-0.0655,0.0006,0.0101,0.0966,0.0357,0.0021
0:22:38,23200,-0.1102,-0.1632,0.0051,0.0087,0.2048,0.0413,0.0003
0:22:42,23300,-0.1154,-0.1075,0.0002,0.0031,0.1063,0.0358,0.0002
0:22:47,23400,-0.0179,-0.1425,0.0032,0.0043,0.1528,0.0375,0.0109
0:22:51,23500,-0.0675,-0.1404,0.0091,0.0047,0.1700,0.0422,0.0013
0:22:56,23600,-0.1758,-0.0838,0.0000,0.0027,0.0870,0.0375,0.0057
0:23:00,23700,-0.0752,-0.1714,0.0012,0.0034,0.1856,0.0348,0.0098
0:23:05,23800,-0.0681,-0.0873,0.0010,0.0043,0.0961,0.0268,0.0030
0:23:10,23900,-0.0220,-0.1497,0.0023,0.0037,0.1543,0.0357,0.0991
0:23:14,24000,-0.0528,-0.1895,0.0056,0.0074,0.2321,0.0411,0.0013
0:23:29,24100,-0.1516,-0.0712,0.0007,0.0039,0.0688,0.0371,0.0001
0:23:34,24200,-0.1017,-0.1793,0.0780,0.0025,0.2130,0.0365,0.0015
0:23:38,24300,-0.1866,-0.0399,0.0023,0.0029,0.0662,0.0356,0.0000
0:23:43,24400,-0.0003,-0.2144,0.0209,0.0040,0.2102,0.0360,0.0022
0:23:48,24500,-0.1178,-0.0624,0.0008,0.0024,0.1092,0.0353,0.0002
0:23:52,24600,-0.1795,-0.0232,0.0709,0.0144,0.0554,0.0373,0.0187
0:23:57,24700,-0.1081,-0.1771,0.0001,0.0035,0.1579,0.0422,0.0003
0:24:01,24800,-0.1346,-0.0757,0.0002,0.0022,0.1132,0.0362,0.0002
0:24:06,24900,-0.2404,-0.0623,0.0010,0.0041,0.0565,0.0417,0.0515
0:24:10,25000,-0.1338,0.1840,0.0341,0.0066,-0.1968,0.0399,0.0044
0:24:25,25100,-0.1440,-0.0988,0.0006,0.0058,0.1066,0.0347,0.0034
0:24:30,25200,-0.1718,-0.0742,0.0099,0.0019,0.0842,0.0345,0.0006
0:24:34,25300,-0.2622,-0.0719,0.0000,0.0060,0.0520,0.0375,0.0034
0:24:39,25400,-0.0182,-0.1090,0.0011,0.0039,0.1268,0.0292,0.0007
0:24:43,25500,-0.1428,-0.1426,0.0003,0.0017,0.1532,0.0354,0.0012
0:24:48,25600,0.0524,-0.1969,0.0023,0.0028,0.1738,0.0266,0.0052
0:24:52,25700,0.0617,-0.2934,0.0174,0.0047,0.3709,0.0464,0.1627
0:24:57,25800,-0.1556,-0.0647,0.0015,0.0051,0.0879,0.0384,0.0001
0:25:01,25900,-0.1225,-0.0408,0.0006,0.0035,0.0785,0.0364,0.0025
0:25:06,26000,-0.1092,-0.0876,0.0157,0.0063,0.1418,0.0380,0.0000
0:25:21,26100,-0.0974,-0.1204,0.0002,0.0032,0.1408,0.0354,0.0002
0:25:26,26200,-0.0471,-0.2561,0.0258,0.0054,0.2284,0.0406,0.0016
0:25:30,26300,-0.0311,-0.1593,0.0042,0.0041,0.1803,0.0322,0.0030
0:25:35,26400,-0.1016,-0.0442,0.0111,0.0033,0.0603,0.0315,0.0005
0:25:39,26500,-0.1145,-0.1722,0.0009,0.0041,0.2019,0.0364,0.0002
0:25:44,26600,-0.0538,-0.1154,0.0189,0.0031,0.1483,0.0322,0.1178
