Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls
0:16:39,15300,-0.0765,-0.2938,0.2640,0.0038,0.3139,0.0459,0.0078
0:16:43,15400,-0.1795,-0.1519,0.0099,0.0046,0.1985,0.0461,0.0062
0:16:47,15500,0.0634,-0.2870,0.1162,0.0028,0.3058,0.0342,0.0029
0:16:51,15600,-0.0176,-0.2125,0.1560,0.0018,0.2207,0.0412,0.0043
0:16:56,15700,-0.0736,-0.2538,0.1164,0.0039,0.2713,0.0365,0.0088
0:17:00,15800,-0.0039,-0.2679,0.0057,0.0023,0.2768,0.0375,0.0111
0:17:04,15900,0.0137,-0.2577,0.6023,0.0030,0.1921,0.0484,0.0005
0:17:09,16000,0.0247,-0.2351,0.1144,0.0030,0.2148,0.0329,0.0046
0:17:24,16100,-0.0481,-0.1968,0.1899,0.0026,0.2378,0.0373,0.0059
0:17:28,16200,-0.1934,-0.0357,0.0215,0.0033,0.1017,0.0400,0.0051
0:17:32,16300,-0.0617,-0.2808,0.0075,0.0041,0.3113,0.0394,0.0023
0:17:36,16400,0.0004,-0.2251,0.0121,0.0034,0.2358,0.0365,0.0358
0:17:41,16500,0.0099,-0.2783,0.0052,0.0072,0.2742,0.0377,0.0064
0:17:45,16600,0.0040,-0.2406,0.0244,0.0027,0.2558,0.0367,0.0089
0:17:49,16700,0.0780,-0.2658,0.2252,0.0016,0.2856,0.0332,0.1898
0:17:54,16800,0.0161,-0.2216,0.0362,0.0037,0.2342,0.0343,0.0006
0:17:58,16900,-0.0033,-0.2367,0.0582,0.0045,0.2461,0.0373,0.0047
0:18:02,17000,0.0014,-0.1274,0.0425,0.0110,0.1584,0.0416,0.0261
0:18:17,17100,0.0220,-0.1617,0.0912,0.0055,0.1935,0.0370,0.0115
0:18:21,17200,0.0076,-0.2119,0.0335,0.0039,0.2039,0.0365,0.0740
0:18:26,17300,0.0862,-0.2332,0.0028,0.0023,0.2421,0.0342,0.0538
0:18:30,17400,-0.0486,-0.1747,0.0191,0.0029,0.2507,0.0385,0.0464
0:18:34,17500,-0.0888,-0.1481,0.0146,0.0045,0.1297,0.0346,0.0034
0:18:39,17600,0.0691,-0.3205,0.4168,0.0068,0.2844,0.0456,0.0167
0:18:43,17700,-0.0443,-0.1562,0.0263,0.0040,0.1637,0.0360,0.0146
0:18:47,17800,0.1339,-0.3296,0.1176,0.0051,0.3008,0.0402,0.0045
0:18:52,17900,0.0622,-0.1935,0.0116,0.0024,0.2077,0.0368,0.0080
0:18:56,18000,-0.0111,-0.2555,0.0153,0.0065,0.2617,0.0369,0.0014
0:19:11,18100,-0.0103,-0.1868,0.0253,0.0048,0.1849,0.0396,0.0088
0:19:15,18200,0.0169,-0.1531,0.0299,0.0032,0.1793,0.0364,0.0011
0:19:19,18300,-0.0056,-0.1980,0.0173,0.0059,0.2131,0.0389,0.0005
0:19:23,18400,-0.0525,-0.1458,0.1877,0.0045,0.1543,0.0351,0.0005
0:19:28,18500,0.1089,-0.6548,0.0048,0.0073,0.6421,0.0689,0.0014
0:19:32,18600,-0.0185,-0.3802,0.0236,0.0037,0.3968,0.0469,0.0497
