Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
1:05:56,5000,100000,0.220671,0.195084,0.024283,0.214996,0.182420,0.028073,0.330947,0.009402,0.012718,0.280452,0.001898,0.310339,0.009196,0.012298,0.001237,0.000001,0.950000
1:14:59,5100,100000,0.257775,0.058378,0.071155,0.079422,0.208524,0.027904,0.798085,0.011713,0.012266,0.341235,0.002305,0.793851,0.012017,0.013066,0.001838,0.000001,0.949000
1:15:36,5200,100000,0.178669,0.158428,0.036838,0.196286,0.101712,0.043975,0.417070,0.011727,0.014043,0.312635,0.001927,0.393999,0.011621,0.014061,0.000842,0.000001,0.948000
1:16:13,5300,100000,0.214471,0.213781,0.050540,0.156609,0.221470,0.043216,0.364135,0.012566,0.013681,0.318323,0.001909,0.343743,0.012509,0.013723,0.000526,0.000001,0.947000
1:16:50,5400,100000,0.188050,0.152252,0.016639,0.117126,0.138932,0.017903,0.554859,0.009681,0.011054,0.302737,0.001849,0.532917,0.009651,0.012150,0.001040,0.000001,0.946000
1:17:27,5500,100000,0.131532,0.107533,0.106582,0.149820,0.067655,0.127969,0.287058,0.012979,0.014405,0.295769,0.001492,0.219077,0.012989,0.013349,0.001221,0.000001,0.945000
1:18:07,5600,100000,0.139339,0.154833,0.075757,0.144944,0.126111,0.072185,0.455346,0.015784,0.017137,0.322593,0.001708,0.447223,0.015797,0.017495,0.000465,0.000001,0.944000
1:18:44,5700,100000,0.231654,0.138199,0.047669,0.188322,0.163918,0.041243,0.470924,0.011828,0.012582,0.279802,0.001697,0.463953,0.011702,0.012739,0.002136,0.000001,0.943000
1:19:21,5800,100000,0.161571,0.112143,0.072666,0.102883,0.167302,0.052342,0.630011,0.011327,0.012646,0.293101,0.001588,0.616732,0.011232,0.012837,0.001838,0.000001,0.942000
1:19:59,5900,100000,0.254612,0.125482,0.064368,0.159934,0.210452,0.049752,0.398882,0.012041,0.013206,0.300691,0.001848,0.371010,0.012047,0.013653,0.001518,0.000001,0.941000
1:21:06,6000,100000,0.224611,0.197089,0.081393,0.136764,0.201192,0.047747,0.480809,0.012168,0.012571,0.274628,0.001588,0.469452,0.012031,0.013769,0.001214,0.000001,0.940000
1:30:21,6100,100000,0.164639,0.127949,0.095353,0.094860,0.163336,0.033846,0.640402,0.010829,0.012624,0.228146,0.001575,0.538470,0.010724,0.012149,0.000840,0.000001,0.939000
1:30:57,6200,100000,0.196401,0.139064,0.060618,0.147961,0.150251,0.059696,0.463938,0.013377,0.014457,0.290681,0.001553,0.449938,0.013271,0.014483,0.000286,0.000000,0.938000
1:31:33,6300,100000,0.159083,0.224913,0.035960,0.183358,0.144547,0.048010,0.405319,0.012538,0.013425,0.266794,0.001586,0.388065,0.012477,0.013314,0.000396,0.000001,0.937000
1:32:10,6400,100000,0.185987,0.148158,0.063027,0.158121,0.117670,0.055809,0.523375,0.012581,0.013621,0.263125,0.001605,0.533055,0.012539,0.013554,0.000521,0.000001,0.936000
1:32:47,6500,100000,0.219652,0.043535,0.157906,0.056596,0.343712,0.023969,0.604762,0.013400,0.016064,0.272410,0.001551,0.529311,0.012773,0.014581,0.000483,0.000001,0.935000
1:33:26,6600,100000,0.260282,0.114629,0.078736,0.120365,0.229328,0.047036,0.455256,0.012119,0.012969,0.247680,0.001371,0.437539,0.012103,0.013887,0.000614,0.000001,0.934000
1:34:03,6700,100000,0.205408,0.125365,0.120145,0.152099,0.160614,0.034937,0.577830,0.013501,0.014484,0.255281,0.001652,0.522772,0.013855,0.015321,0.001208,0.000001,0.933000
1:34:40,6800,100000,0.238734,0.178321,0.073967,0.102392,0.265099,0.050244,0.417961,0.012478,0.012986,0.260603,0.001442,0.390927,0.012445,0.013439,0.000512,0.000001,0.932000
1:35:17,6900,100000,0.163809,0.174715,0.052245,0.192650,0.128972,0.056578,0.341963,0.011826,0.013044,0.265865,0.001589,0.306043,0.011768,0.012826,0.000268,0.000001,0.931000
1:35:56,7000,100000,0.173244,0.162546,0.056306,0.161376,0.145971,0.056420,0.468708,0.011506,0.012621,0.275719,0.001531,0.452898,0.011457,0.012976,0.000791,0.000001,0.930000
1:44:57,7100,100000,0.223724,0.196030,0.044961,0.215544,0.159601,0.048914,0.383996,0.010547,0.011262,0.251114,0.001203,0.381156,0.010653,0.012047,0.000496,0.000001,0.929000
1:46:00,7200,100000,0.142586,0.223458,0.044560,0.167901,0.165067,0.047906,0.401857,0.009333,0.010469,0.251152,0.001321,0.349060,0.009399,0.010712,0.000247,0.000000,0.928000
1:46:36,7300,100000,0.196545,0.042275,0.123988,0.078174,0.262933,0.030937,0.611806,0.012703,0.014602,0.214079,0.001420,0.533791,0.012227,0.014387,0.000302,0.000001,0.927000
1:47:12,7400,100000,0.264611,0.117212,0.038226,0.125594,0.157218,0.027550,0.663760,0.011326,0.013201,0.230599,0.001113,0.653511,0.011238,0.012968,0.000439,0.000000,0.926000
1:47:49,7500,100000,0.181357,0.147885,0.082013,0.125633,0.180203,0.090685,0.408341,0.011504,0.012565,0.236571,0.001072,0.374833,0.011541,0.013198,0.000507,0.000001,0.925000
1:48:28,7600,100000,0.232663,0.128181,0.048549,0.175947,0.144254,0.050986,0.472582,0.012370,0.013082,0.256615,0.001177,0.464886,0.012269,0.012931,0.000866,0.000000,0.924000
1:49:04,7700,100000,0.109785,0.144967,0.051942,0.158955,0.101451,0.066410,0.301703,0.013146,0.014189,0.218120,0.001070,0.289507,0.013095,0.014166,0.000208,0.000000,0.923000
1:49:40,7800,100000,0.127341,0.191503,0.057073,0.185102,0.101754,0.056055,0.437796,0.014352,0.014708,0.218774,0.001072,0.436717,0.014327,0.014929,0.000477,0.000001,0.922000
1:50:16,7900,100000,0.272686,0.145142,0.052010,0.150521,0.231168,0.033187,0.380671,0.010475,0.011757,0.203369,0.001044,0.359261,0.010624,0.012585,0.001009,0.000001,0.921000
1:50:54,8000,100000,0.168176,0.195983,0.048070,0.190099,0.156141,0.053537,0.395149,0.011299,0.011940,0.224483,0.001019,0.374405,0.011243,0.012063,0.000161,0.000000,0.920000
1:59:44,8100,100000,0.241349,0.195618,0.048259,0.218846,0.118364,0.054855,0.460003,0.011169,0.011426,0.232523,0.001095,0.455043,0.011140,0.011654,0.000175,0.000000,0.919000
2:00:23,8200,100000,0.111080,0.243475,0.069629,0.175974,0.163007,0.064173,0.338715,0.012360,0.013225,0.221751,0.001266,0.322644,0.012255,0.013120,0.000245,0.000000,0.918000
2:00:59,8300,100000,0.235898,0.171468,0.051219,0.198804,0.168903,0.053022,0.418061,0.010139,0.011933,0.220249,0.001182,0.369938,0.011108,0.013856,0.000202,0.000000,0.917000
2:02:01,8400,100000,0.168367,0.130497,0.058194,0.080632,0.201508,0.035811,0.716555,0.010239,0.011448,0.190847,0.000939,0.696688,0.010023,0.011162,0.000189,0.000000,0.916000
2:02:37,8500,100000,0.215825,0.163795,0.037731,0.201295,0.162513,0.040216,0.368263,0.012055,0.012757,0.227545,0.001167,0.348561,0.012026,0.013412,0.000343,0.000000,0.915000
2:03:15,8600,100000,0.219948,0.169508,0.056314,0.163911,0.159393,0.052929,0.501050,0.011572,0.012162,0.206004,0.001264,0.475994,0.011487,0.012293,0.000291,0.000000,0.914000
2:03:52,8700,100000,0.246487,0.159099,0.038234,0.185772,0.141424,0.032353,0.449923,0.010002,0.011533,0.229043,0.001129,0.430856,0.010049,0.012012,0.000558,0.000000,0.913000
2:04:29,8800,100000,0.172256,0.023281,0.069638,0.041935,0.077968,0.028669,0.858377,0.026609,0.029205,0.197947,0.001264,0.701410,0.022852,0.024629,0.003773,0.000000,0.912000
2:05:05,8900,100000,0.166290,0.149653,0.063843,0.118292,0.175136,0.055940,0.498553,0.014398,0.015345,0.217168,0.001218,0.483415,0.014412,0.015001,0.000126,0.000000,0.911000
2:05:42,9000,100000,0.190002,0.162492,0.063796,0.227009,0.097218,0.077531,0.415788,0.012066,0.012744,0.236288,0.001226,0.398519,0.012017,0.013222,0.000396,0.000001,0.910000
2:14:27,9100,100000,0.256958,0.166236,0.024994,0.198017,0.203493,0.024901,0.318479,0.010927,0.011681,0.217302,0.001285,0.305626,0.010915,0.011937,0.000145,0.000000,0.909000
2:15:04,9200,100000,0.220438,0.159495,0.054416,0.139178,0.204209,0.047035,0.407379,0.012310,0.012987,0.168081,0.001076,0.387057,0.012276,0.012759,0.000465,0.000000,0.908000
2:15:41,9300,100000,0.170181,0.226329,0.046737,0.194412,0.170432,0.055040,0.345492,0.011626,0.012733,0.189260,0.001335,0.319674,0.011611,0.012598,0.000073,0.000000,0.907000
2:16:17,9400,100000,0.106508,0.200967,0.068426,0.156411,0.133532,0.070794,0.382439,0.010775,0.011252,0.186034,0.000942,0.382540,0.010600,0.011248,0.000129,0.000000,0.906000
2:16:54,9500,100000,0.189134,0.217885,0.062194,0.184984,0.143870,0.046848,0.408031,0.012997,0.013636,0.199997,0.001182,0.395847,0.012955,0.014068,0.000368,0.000000,0.905000
2:17:53,9600,100000,0.213121,0.214355,0.022771,0.222073,0.166892,0.024553,0.363757,0.009701,0.010761,0.206901,0.001275,0.344612,0.009621,0.011234,0.000677,0.000000,0.904000
2:18:32,9700,100000,0.155753,0.151503,0.054583,0.123035,0.153796,0.053363,0.537477,0.014832,0.015345,0.200450,0.001401,0.512292,0.014823,0.015337,0.000096,0.000000,0.903000
2:19:09,9800,100000,0.123884,0.271335,0.034973,0.176980,0.176541,0.060452,0.329436,0.012576,0.012966,0.169078,0.001144,0.315805,0.012649,0.012910,0.000231,0.000000,0.902000
2:19:46,9900,100000,0.115271,0.331715,0.036896,0.177993,0.190780,0.049444,0.340657,0.011172,0.013103,0.172276,0.001171,0.324680,0.011048,0.012725,0.000156,0.000000,0.901000
2:20:22,10000,100000,0.165099,0.171883,0.056407,0.145452,0.165964,0.050247,0.415358,0.012368,0.014152,0.176638,0.000998,0.404029,0.012274,0.013430,0.000143,0.000000,0.900000
2:28:59,10100,100000,0.200163,0.181264,0.055745,0.169727,0.157164,0.056607,0.431109,0.011698,0.012404,0.179316,0.000916,0.412568,0.011583,0.012672,0.000168,0.000000,0.899000
2:29:35,10200,100000,0.153506,0.102450,0.041623,0.133449,0.102842,0.042732,0.564882,0.014586,0.014691,0.175102,0.001277,0.543363,0.014296,0.014753,0.000146,0.000000,0.898000
2:30:14,10300,100000,0.198001,0.159091,0.037206,0.174505,0.158090,0.031937,0.463160,0.009102,0.009768,0.161882,0.001086,0.449937,0.009254,0.009753,0.000101,0.000000,0.897000
2:30:50,10400,100000,0.153653,0.182903,0.043824,0.137839,0.180623,0.042293,0.416027,0.011213,0.011327,0.186140,0.001473,0.405564,0.011111,0.011612,0.000112,0.000000,0.896000
2:31:26,10500,100000,0.206084,0.191443,0.068043,0.113752,0.217599,0.055201,0.490583,0.013309,0.014342,0.167238,0.001023,0.439938,0.013249,0.014322,0.000102,0.000001,0.895000
2:32:02,10600,100000,0.309576,0.084003,0.024652,0.198499,0.134176,0.025311,0.484437,0.009145,0.009425,0.179181,0.001409,0.476953,0.008990,0.009398,0.000243,0.000000,0.894000
2:32:38,10700,100000,0.174132,0.109986,0.083162,0.104874,0.182862,0.055621,0.560869,0.015221,0.015393,0.162292,0.001228,0.558819,0.015110,0.015179,0.000250,0.000001,0.893000
2:33:41,10800,100000,0.168925,0.197279,0.069664,0.089195,0.238673,0.060528,0.400466,0.014041,0.014250,0.183821,0.001252,0.384034,0.013850,0.014282,0.000051,0.000001,0.892000
2:34:17,10900,100000,0.241269,0.147183,0.055511,0.155382,0.196940,0.044612,0.447461,0.011097,0.011407,0.160926,0.001469,0.408332,0.010915,0.011355,0.000308,0.000001,0.891000
