Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:39:26,5300,100000,0.116021,0.022005,0.044598,0.007894,0.116340,0.015652,0.329420,6.447228,10.369648,0.086822,0.079683,0.226732,0.032982,0.338808,3.237531,10.940396,0.084931,0.080253,0.243035,0.029406,0.000000
0:39:58,5400,100000,0.016459,0.092100,0.034863,0.077818,0.004875,0.042135,0.247126,4.020500,11.733519,0.099001,0.096352,0.293617,0.027354,0.224457,6.261409,13.750726,0.097424,0.098900,0.157132,0.016155,0.000000
0:40:30,5500,100000,0.054951,0.084743,0.030051,0.035467,0.058822,0.029127,0.321720,7.307997,8.688290,0.083397,0.086362,0.244385,0.032707,0.288151,5.136916,10.388349,0.076595,0.086010,0.097888,0.035854,0.000000
0:41:17,5600,100000,0.046885,0.049834,0.030261,0.042705,0.039874,0.044754,0.281382,4.364158,8.885052,0.097956,0.094535,0.257499,0.022259,0.282191,3.296767,10.220379,0.100020,0.095471,0.109227,0.018685,0.000000
0:41:51,5700,100000,0.028103,0.069706,0.039717,0.044361,0.023803,0.035528,0.286442,7.602627,7.764399,0.083196,0.083031,0.271100,0.032906,0.256888,5.921048,11.906058,0.083049,0.079020,0.067291,0.030192,0.000000
0:42:23,5800,100000,0.010363,0.082226,0.017276,0.053685,0.006314,0.038066,0.238623,5.343105,12.271345,0.091450,0.087285,0.190433,0.028941,0.249132,5.610218,12.853809,0.090494,0.087368,0.222173,0.015128,0.000000
0:43:18,5900,100000,0.052304,0.092181,0.030769,0.042520,0.037605,0.030125,0.338111,6.652119,6.785100,0.103855,0.097209,0.242874,0.037221,0.323174,2.693559,11.589913,0.097666,0.092733,0.122922,0.021538,0.000000
0:43:51,6000,100000,0.023006,0.115371,0.019077,0.079331,0.020581,0.043237,0.202469,4.852866,9.594874,0.089121,0.082068,0.224887,0.025113,0.200006,4.026706,12.438680,0.090251,0.083024,0.132529,0.018805,0.000000
0:47:24,6100,100000,0.025144,0.068578,0.020145,0.051845,0.029259,0.040757,0.210522,7.029503,10.781212,0.092315,0.089626,0.260303,0.034901,0.238757,5.470181,10.138569,0.092954,0.087344,0.221930,0.030937,0.000000
0:47:57,6200,100000,0.065861,0.079614,0.032754,0.068212,0.039784,0.039105,0.233262,4.574461,9.796721,0.072096,0.068633,0.237325,0.024680,0.238659,4.627565,7.529313,0.071189,0.068834,0.158410,0.028092,0.000000
0:48:30,6300,100000,0.044267,0.100301,0.035419,0.076546,0.030993,0.033680,0.207977,5.041358,2.626673,0.084685,0.084913,0.240444,0.017731,0.207103,4.363787,4.241866,0.087467,0.081843,0.202981,0.014738,0.000000
0:49:02,6400,100000,0.025435,0.096388,0.029017,0.035296,0.015802,0.034409,0.317007,4.876112,5.522547,0.117351,0.108591,0.244255,0.021228,0.315026,4.506354,4.207152,0.126406,0.110776,0.048379,0.016100,0.000000
0:49:36,6500,100000,0.058716,0.109325,0.044233,0.068861,0.043420,0.033466,0.228993,6.365487,5.084221,0.073981,0.071779,0.258845,0.035140,0.217998,5.262825,3.629508,0.072392,0.074331,0.052756,0.019248,0.000000
0:50:25,6600,100000,0.058272,0.077320,0.039971,0.050593,0.049340,0.037266,0.246592,5.039513,5.752374,0.080166,0.078321,0.277391,0.023500,0.259492,2.694468,7.763331,0.077181,0.076295,0.088610,0.020491,0.000000
0:50:57,6700,100000,0.054498,0.034903,0.040543,0.029447,0.038662,0.032615,0.347891,5.447802,6.893448,0.092537,0.094664,0.206862,0.018592,0.336695,4.291795,7.108139,0.094920,0.095590,0.075229,0.015393,0.000000
0:51:29,6800,100000,0.047066,0.044963,0.040556,0.040770,0.040330,0.046359,0.294726,7.217166,8.416880,0.089910,0.091742,0.258297,0.032402,0.284370,4.890150,9.305186,0.093765,0.092088,0.298498,0.020281,0.000000
0:52:26,6900,100000,0.149167,0.007852,0.060726,0.008649,0.138804,0.012792,0.317541,6.439322,7.477867,0.086107,0.085523,0.262989,0.038427,0.337128,4.146668,5.660146,0.082264,0.083205,0.223122,0.016262,0.000000
0:53:00,7000,100000,0.062508,0.033564,0.045654,0.020364,0.048225,0.036053,0.350208,4.767328,6.538056,0.092624,0.088134,0.246952,0.039550,0.347450,2.930911,6.838142,0.090513,0.088536,0.043884,0.029849,0.000000
0:53:48,7100,100000,0.075541,0.027988,0.052199,0.021498,0.071473,0.033278,0.391596,6.322136,3.781929,0.083999,0.070311,0.310724,0.028209,0.394495,4.496026,4.908097,0.086771,0.079226,0.062483,0.015466,0.000000
0:54:20,7200,100000,0.026276,0.085263,0.029549,0.057345,0.033905,0.044098,0.242571,7.468217,6.705500,0.084870,0.080201,0.209302,0.037223,0.240977,3.479847,5.497868,0.081646,0.078913,0.111952,0.034864,0.000000
0:54:54,7300,100000,0.022155,0.030013,0.037035,0.017097,0.019054,0.035069,0.344297,5.131850,7.193080,0.091467,0.089518,0.231600,0.025875,0.373200,4.163788,12.300863,0.092472,0.090130,0.310487,0.029741,0.000000
0:55:27,7400,100000,0.054248,0.049265,0.061242,0.035383,0.049974,0.042203,0.312939,6.560248,5.114614,0.095565,0.092738,0.238355,0.026826,0.316634,6.057470,6.305516,0.093329,0.093504,0.290694,0.038379,0.000000
0:56:01,7500,100000,0.057333,0.072366,0.048487,0.075113,0.035519,0.044353,0.220273,5.209893,3.480255,0.074786,0.077002,0.231723,0.019926,0.175907,6.184695,3.329909,0.071122,0.074329,0.145547,0.028040,0.000000
0:56:45,7600,100000,0.036448,0.068891,0.052784,0.052955,0.019790,0.046571,0.264365,4.910131,2.230789,0.073362,0.071546,0.227982,0.024208,0.259415,8.372468,3.976000,0.074709,0.070914,0.264886,0.021597,0.000000
0:57:18,7700,100000,0.165248,0.025731,0.045278,0.025791,0.097442,0.027791,0.345174,3.333414,1.531871,0.073225,0.071195,0.268747,0.029590,0.344391,3.752144,5.801663,0.073326,0.071127,0.143857,0.028039,0.000000
0:57:51,7800,100000,0.029100,0.086528,0.046526,0.084436,0.012934,0.039715,0.190254,5.281836,5.197330,0.081402,0.080388,0.242205,0.016912,0.182949,5.168756,7.132983,0.080526,0.079166,0.342607,0.017172,0.000000
0:58:45,7900,100000,0.040464,0.036354,0.045281,0.046312,0.014762,0.043660,0.275665,5.848852,8.724924,0.083357,0.086474,0.214074,0.022255,0.271574,3.829436,8.739191,0.085628,0.086949,0.130929,0.021513,0.000000
0:59:17,8000,100000,0.059698,0.035738,0.050408,0.042293,0.043552,0.045744,0.304295,4.131033,6.498210,0.089627,0.088558,0.217323,0.024683,0.301792,3.537612,6.498618,0.090102,0.089099,0.137976,0.019831,0.000000
1:02:49,8100,100000,0.050833,0.038211,0.046321,0.033248,0.042682,0.042559,0.272485,4.242542,6.018698,0.099510,0.092408,0.226249,0.053949,0.320151,4.485352,9.997114,0.097912,0.088357,0.127509,0.031217,0.000000
1:03:21,8200,100000,0.036473,0.054539,0.027992,0.041551,0.021850,0.043720,0.277530,7.785976,6.542151,0.106608,0.095257,0.223043,0.025818,0.286744,4.906612,9.271397,0.097474,0.095509,0.241920,0.019126,0.000000
1:03:54,8300,100000,0.042086,0.081359,0.041095,0.066968,0.027130,0.037869,0.238132,4.076383,6.627594,0.074091,0.071417,0.226438,0.020977,0.228314,3.945922,6.726321,0.076598,0.072670,0.066574,0.019666,0.000000
1:04:25,8400,100000,0.046348,0.068780,0.045582,0.049989,0.031242,0.044848,0.263975,4.848483,4.198812,0.077237,0.074197,0.216168,0.016866,0.250731,2.793156,4.646651,0.075827,0.074150,0.261196,0.013996,0.000000
1:04:58,8500,100000,0.055700,0.061764,0.047324,0.048126,0.045941,0.032123,0.292771,5.594816,3.482450,0.093377,0.092356,0.299213,0.029409,0.293197,3.449080,4.841959,0.094180,0.093472,0.084896,0.022899,0.000000
1:05:45,8600,100000,0.098003,0.006711,0.056900,0.006511,0.139361,0.011435,0.391702,4.419082,6.367468,0.088581,0.081566,0.251996,0.018128,0.365313,3.853529,7.003773,0.087604,0.079892,0.424077,0.031124,0.000000
1:06:17,8700,100000,0.043515,0.100079,0.033216,0.065904,0.037405,0.037719,0.238825,3.964698,6.304460,0.075081,0.076769,0.224456,0.033347,0.235167,4.457840,4.682268,0.072058,0.078427,0.136599,0.021372,0.000000
1:06:50,8800,100000,0.087420,0.093205,0.029396,0.071374,0.056677,0.030198,0.231273,6.420116,7.947555,0.068464,0.059177,0.189181,0.031925,0.226227,4.080307,10.781724,0.065743,0.060460,0.072754,0.024039,0.000000
1:07:45,8900,100000,0.021148,0.117926,0.023878,0.076483,0.022769,0.039809,0.222227,3.396157,3.662149,0.088662,0.088610,0.204673,0.030535,0.229697,4.115161,4.303278,0.088597,0.088685,0.193369,0.028882,0.000000
1:08:18,9000,100000,0.036275,0.079357,0.025129,0.072231,0.019418,0.046656,0.206575,5.291405,6.560867,0.091869,0.087895,0.228993,0.022017,0.194408,2.976426,9.857593,0.087900,0.085063,0.098687,0.025170,0.000000
1:09:03,9100,100000,0.044129,0.110075,0.027115,0.047074,0.038102,0.034018,0.289602,5.104744,10.446060,0.082398,0.082568,0.224257,0.038892,0.295546,3.759355,11.367395,0.083878,0.080479,0.122194,0.022339,0.000000
1:09:36,9200,100000,0.021355,0.063105,0.031410,0.058111,0.020028,0.049771,0.180147,5.625607,5.714179,0.103482,0.107621,0.217938,0.022636,0.205364,2.797120,9.547693,0.104237,0.107396,0.233855,0.023332,0.000000
1:10:09,9300,100000,0.058643,0.091040,0.043306,0.079826,0.050723,0.043203,0.191279,4.699795,3.847978,0.055986,0.061883,0.231220,0.022803,0.202692,1.956566,5.694892,0.055922,0.060904,0.325250,0.020356,0.000000
1:10:41,9400,100000,0.024828,0.117887,0.024584,0.060509,0.035369,0.037852,0.269990,5.693833,6.430760,0.083637,0.081732,0.240112,0.036857,0.261137,5.306580,9.029221,0.088151,0.087071,0.459007,0.018341,0.000000
1:11:14,9500,100000,0.044041,0.071214,0.043427,0.048955,0.040100,0.043261,0.234716,4.630150,5.249071,0.082617,0.084195,0.207841,0.028924,0.242967,2.824520,9.024197,0.079476,0.080881,0.509504,0.016072,0.000000
1:12:01,9600,100000,0.026265,0.079680,0.037865,0.052199,0.033954,0.045764,0.273469,3.657994,7.829140,0.077123,0.073840,0.240213,0.031806,0.293661,3.706880,10.878242,0.076625,0.075612,0.292568,0.019481,0.000000
1:12:33,9700,100000,0.040695,0.035342,0.045258,0.032040,0.027069,0.027728,0.341006,5.847242,5.031392,0.107091,0.107718,0.229939,0.025702,0.358734,4.609291,7.138607,0.107289,0.106052,0.155014,0.027918,0.000000
1:13:28,9800,100000,0.041261,0.039500,0.061066,0.031547,0.039673,0.044664,0.300416,3.419846,4.147477,0.075905,0.074450,0.244595,0.037809,0.301527,4.282877,8.018879,0.079423,0.076803,0.243732,0.020907,0.000000
1:14:01,9900,100000,0.052650,0.115524,0.039262,0.077184,0.022978,0.039113,0.245399,4.559513,3.730242,0.081452,0.079956,0.227665,0.026501,0.240760,4.828026,4.960154,0.083294,0.081488,0.163024,0.025777,0.000000
1:14:34,10000,100000,0.039052,0.053845,0.043293,0.039287,0.023368,0.031458,0.299408,4.214347,1.794538,0.103344,0.105360,0.231947,0.032573,0.331698,2.522940,4.093338,0.101151,0.103314,0.220995,0.014852,0.000000
1:18:11,10100,100000,0.035263,0.058559,0.035832,0.052063,0.014368,0.047159,0.248221,6.600344,8.125191,0.104192,0.097453,0.250893,0.025604,0.250744,4.749567,6.707070,0.097183,0.095571,0.072504,0.016185,0.000000
1:18:45,10200,100000,0.115481,0.029564,0.037787,0.030610,0.070486,0.024666,0.323467,6.428270,4.884551,0.096634,0.093049,0.287668,0.025923,0.314586,3.946654,4.711255,0.089584,0.089026,0.080667,0.024555,0.000000
1:19:18,10300,100000,0.086561,0.032407,0.050531,0.023549,0.057865,0.038690,0.341750,4.490723,7.573917,0.085312,0.082837,0.205866,0.017491,0.338996,3.940071,8.318347,0.091697,0.081974,0.085108,0.022242,0.000000
1:19:50,10400,100000,0.030470,0.093424,0.034114,0.113773,0.021686,0.051171,0.143442,6.816828,1.053804,0.090243,0.095435,0.209116,0.025909,0.157622,5.761477,4.914945,0.094440,0.092726,0.374283,0.038089,0.000000
1:20:23,10500,100000,0.021881,0.038424,0.028678,0.037324,0.017246,0.046263,0.257737,5.246428,7.074619,0.108673,0.103005,0.247242,0.028392,0.279321,4.450438,10.499821,0.109305,0.102497,0.256575,0.020679,0.000000
1:21:12,10600,100000,0.018360,0.038251,0.023808,0.025867,0.005301,0.030855,0.385837,5.640746,5.864912,0.117219,0.114888,0.255241,0.027059,0.388681,4.846954,5.817328,0.119264,0.115309,0.199915,0.012333,0.000000
1:21:44,10700,100000,0.085694,0.036387,0.050242,0.031559,0.068617,0.028076,0.329610,3.621309,6.237789,0.082125,0.084536,0.218515,0.018687,0.354351,3.597045,7.444342,0.082279,0.084713,0.168940,0.016057,0.000000
1:22:39,10800,100000,0.040486,0.039243,0.043062,0.027336,0.033803,0.041749,0.306694,3.255641,8.316280,0.085774,0.080367,0.217921,0.019145,0.316993,3.065971,8.740020,0.079721,0.078554,0.162959,0.021194,0.000000
1:23:12,10900,100000,0.053178,0.055728,0.038924,0.070141,0.022121,0.044166,0.241387,4.541465,8.164540,0.071539,0.072119,0.223051,0.024547,0.231373,2.965856,7.231257,0.077600,0.073974,0.175794,0.020721,0.000000
1:23:45,11000,100000,0.037080,0.045111,0.041779,0.049120,0.023377,0.050499,0.231664,4.184263,7.142700,0.085830,0.080174,0.233414,0.027672,0.236748,2.146187,8.603064,0.085999,0.080174,0.236192,0.018796,0.000000
1:24:34,11100,100000,0.148978,0.016060,0.052896,0.013534,0.114488,0.013510,0.475394,4.506381,13.297036,0.070761,0.071530,0.217717,0.027009,0.456049,3.369591,11.878897,0.066901,0.069675,0.062093,0.021747,0.000000
1:25:05,11200,100000,0.115311,0.055482,0.056490,0.028874,0.122891,0.020074,0.279442,4.599910,2.158268,0.084440,0.082383,0.227068,0.028467,0.282781,2.566283,4.333758,0.092643,0.082605,0.211992,0.033981,0.000000
