step,source,target,domain,distance
10000,WAL,CLD,1,1.3552907705307007
10000,WAL,CLD,2,1.825165867805481
10000,WAL,CLD,3,1.700272798538208
10000,WAL,CLD,4,2.0736052989959717
10000,WAL,CLD,5,1.4119353294372559
10000,WAL,CLD,6,1.6545755863189697
10000,WAL,CLD,7,1.39093017578125
10000,WAL,CLD,8,1.2594249248504639
10000,WAL,CLD,9,1.3874510526657104
10000,WAL,CLD,10,2.03256893157959
10000,WAL,CLD,11,1.1789439916610718
10000,WAL,CLD,12,1.6509286165237427
10000,WAL,CLD,13,1.5979679822921753
10000,WAL,CLD,14,1.899255394935608
10000,WAL,CLD,15,1.1622401475906372
10000,WAL,CLD,16,1.5784895420074463
10000,WAL,CLD,17,1.8923511505126953
10000,WAL,CLD,18,1.411134958267212
10000,WAL,CLD,19,0.6838901042938232
10000,WAL,CLD,20,1.9891202449798584
10000,WAL,CLD,21,1.6906882524490356
10000,WAL,CLD,22,1.276643991470337
10000,WAL,CLD,23,1.3358577489852905
10000,WAL,CLD,24,1.8415682315826416
10000,WAL,CLD,25,1.455675482749939
10000,WAL,CLD,26,1.1696045398712158
10000,WAL,CLD,27,1.6471928358078003
10000,WAL,CLD,28,1.6403921842575073
10000,WAL,CLD,29,1.838382363319397
10000,WAL,CLD,30,2.1820831298828125
10000,WAL,CLD,31,2.18562912940979
10000,WAL,CLD,32,1.9857691526412964
10000,WAL,CLD,33,1.467642903327942
10000,WAL,CLD,34,1.7358356714248657
10000,WAL,CLD,35,2.063549280166626
10000,WAL,CLD,36,1.284380555152893
10000,WAL,CLD,37,1.9223129749298096
10000,WAL,CLD,38,1.3883413076400757
10000,WAL,CLD,39,1.6981111764907837
10000,WAL,CLD,40,2.082009792327881
10000,WAL,CLD,41,1.475846290588379
10000,WAL,CLD,42,1.763796329498291
10000,WAL,CLD,43,1.7312936782836914
10000,WAL,CLD,44,2.1023409366607666
10000,WAL,CLD,45,1.3041785955429077
10000,WAL,CLD,46,1.2955427169799805
10000,WAL,CLD,47,2.08294415473938
10000,WAL,CLD,48,1.9109662771224976
10000,WAL,CLD,49,2.05947208404541
10000,WAL,CLD,50,1.3373466730117798
10000,WAL,CLD,51,1.4755034446716309
10000,WAL,CLD,52,1.7139664888381958
10000,WAL,CLD,53,1.7878154516220093
10000,WAL,CLD,54,1.8353204727172852
10000,WAL,CLD,55,1.4714847803115845
10000,WAL,CLD,56,1.6320618391036987
10000,WAL,CLD,57,1.888979196548462
10000,WAL,CLD,58,1.328012466430664
10000,WAL,CLD,59,1.2843141555786133
10000,WAL,CLD,60,1.947649598121643
10000,WAL,CLU,0,1.1474499702453613
10000,WAL,CLU,1,1.0640242099761963
10000,WAL,CLU,2,1.738698959350586
10000,WAL,CLU,3,1.2849931716918945
10000,WAL,CLU,4,2.1951043605804443
10000,WAL,CLU,5,1.1243807077407837
10000,WAL,CLU,6,1.230180263519287
10000,WAL,CLU,7,1.1715445518493652
10000,WAL,CLU,8,1.3129147291183472
10000,WAL,CLU,9,1.310045599937439
10000,WAL,CLU,10,1.5796231031417847
10000,WAL,CLU,11,0.9519944190979004
10000,WAL,CLU,12,1.4146161079406738
10000,WAL,CLU,13,0.9442759156227112
10000,WAL,CLU,14,1.6839566230773926
10000,WAL,CLU,15,1.1032496690750122
10000,WAL,CLU,16,1.056193232536316
10000,WAL,CLU,17,1.1590430736541748
10000,WAL,CLU,18,1.121982216835022
10000,WAL,CLU,19,0.8108490705490112
10000,WAL,CLU,20,1.6562508344650269
10000,WAL,CLU,21,1.0467690229415894
10000,WAL,CLU,22,1.284857988357544
10000,WAL,CLU,23,0.950181782245636
