Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
1:26:13,61300,-1.1374,-0.0058,0.7763,0.0067,2.8224,0.2995,0.0586,1.0526,2.7358,0.0561
1:26:18,61400,-1.0813,0.1071,0.0631,0.0043,2.8397,-0.0657,0.0533,0.2891,2.8708,0.0620
1:26:22,61500,-0.1710,-0.5952,0.0195,0.0052,2.7463,0.7159,0.0623,0.1100,2.6090,0.0495
1:26:26,61600,-0.6260,-0.1334,0.0470,0.0052,2.7428,0.1666,0.0527,0.1122,2.7273,0.0474
1:26:31,61700,-1.1557,-0.0241,0.0080,0.0038,2.7415,-0.0665,0.0766,0.0154,2.6313,0.0619
1:26:35,61800,-0.0624,-0.4356,0.0493,0.0051,2.7869,0.4742,0.0443,0.0891,2.7451,0.0359
1:26:40,61900,-0.0096,-0.3136,0.1151,0.0041,2.7344,0.3161,0.0432,0.0710,2.7229,0.0314
1:26:45,62000,-0.8333,0.2314,0.1574,0.0019,2.7944,-0.1624,0.0452,0.0622,2.7079,0.0387
1:27:11,62100,-0.8642,-0.0555,0.0225,0.0052,2.7385,0.0704,0.0504,0.1724,2.7901,0.0506
1:27:16,62200,-0.3377,-0.0616,0.2490,0.0069,2.7291,0.1615,0.0531,0.0162,2.6830,0.0389
1:27:20,62300,-0.6590,-0.0981,0.0598,0.0103,2.7082,0.1062,0.0672,0.0078,2.7934,0.0470
1:27:24,62400,-0.1769,-0.3232,0.0494,0.0063,2.6520,0.3115,0.0427,0.0263,2.7607,0.0339
1:27:29,62500,-0.3604,-0.1683,0.1161,0.0037,2.7443,0.1486,0.0485,0.0248,2.8281,0.0433
1:27:33,62600,-0.8357,0.1314,0.0971,0.0063,2.6937,-0.1112,0.0519,0.3197,2.6590,0.0478
1:27:38,62700,-0.2307,-0.0495,0.1963,0.0087,2.7429,0.0793,0.0506,0.0321,2.7313,0.0400
1:27:42,62800,-0.7452,0.1229,0.1510,0.0025,2.7060,-0.0985,0.0511,0.0548,2.6822,0.0385
1:27:47,62900,-0.8165,0.2646,0.0224,0.0033,2.6726,-0.2709,0.0583,0.0607,2.6822,0.0471
1:27:51,63000,-0.4334,-0.0716,0.1519,0.0051,2.9103,0.0788,0.0698,0.0578,2.8099,0.0435
1:28:17,63100,-0.7472,0.1986,0.1075,0.0066,2.6921,-0.1695,0.0629,0.1453,2.7279,0.0454
1:28:22,63200,-0.6845,0.0739,0.0576,0.0050,2.7031,-0.0721,0.0584,0.0351,2.7819,0.0468
1:28:26,63300,-0.8556,0.3512,0.0144,0.0048,2.7919,-0.3158,0.0519,0.0263,2.8515,0.0405
