Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom
0:57:43,7900,100000,0.075255,0.057640,0.035575,0.062512,0.052224,0.027735,0.299982,0.483733,1.580167,0.072026,0.060575,0.248083,0.021395,0.283565,0.101607,1.109742,0.073109,0.060174,0.077811,0.016405,0.000000,0.099980
0:58:16,8000,100000,0.095064,0.057586,0.033433,0.060449,0.067132,0.026703,0.263047,0.054330,1.795030,0.074563,0.060291,0.259157,0.022761,0.243621,0.061859,2.106361,0.069966,0.057289,0.070537,0.020501,0.000000,0.099980
1:01:46,8100,100000,0.088219,0.070436,0.029663,0.064601,0.075511,0.029271,0.234492,0.000415,0.841606,0.058732,0.048230,0.265078,0.036547,0.232164,0.000083,0.656073,0.057292,0.047210,0.061084,0.018265,0.000000,0.099980
1:02:18,8200,100000,0.081450,0.063692,0.035183,0.033505,0.076929,0.029084,0.292871,0.592566,1.176286,0.072038,0.062974,0.252053,0.026119,0.280009,0.041372,1.199461,0.073508,0.063394,0.057019,0.014093,0.000000,0.099980
1:02:51,8300,100000,0.102585,0.087628,0.026246,0.080762,0.062600,0.017109,0.245725,0.000100,1.421019,0.061422,0.053004,0.257073,0.018949,0.235179,0.001386,2.930604,0.058854,0.052568,0.071113,0.015701,0.000000,0.099980
1:03:23,8400,100000,0.108202,0.107603,0.038285,0.070498,0.083722,0.023454,0.211810,0.275253,0.276736,0.067750,0.056198,0.243386,0.021553,0.208887,0.001352,0.897299,0.066181,0.056287,0.061028,0.011022,0.000000,0.099980
1:03:55,8500,100000,0.087855,0.097799,0.032685,0.075919,0.067741,0.030144,0.206453,0.351775,1.219343,0.073419,0.062715,0.325470,0.026857,0.205139,0.003845,0.830212,0.071714,0.063489,0.043975,0.015281,0.000000,0.099980
1:04:42,8600,100000,0.079822,0.067886,0.036703,0.065053,0.056243,0.034880,0.237265,0.024591,0.854864,0.070006,0.059036,0.293267,0.021755,0.226486,0.058995,0.447530,0.064666,0.056708,0.041967,0.011979,0.000000,0.099980
1:05:13,8700,100000,0.113119,0.082656,0.027328,0.078498,0.091905,0.026145,0.214270,0.847864,0.738569,0.054303,0.045184,0.258909,0.027567,0.194749,0.218801,0.532494,0.056549,0.047080,0.072486,0.010673,0.000000,0.099980
1:05:46,8800,100000,0.120923,0.126929,0.023269,0.133652,0.075618,0.017498,0.186904,0.298789,1.370531,0.045019,0.039734,0.211532,0.020993,0.174343,0.625061,1.148762,0.046631,0.040800,0.066478,0.011556,0.000000,0.099980
1:06:40,8900,100000,0.065315,0.114366,0.029388,0.085715,0.072026,0.029083,0.194470,0.151301,1.002337,0.065942,0.056114,0.223180,0.020645,0.185867,0.007107,0.587105,0.065858,0.055102,0.070564,0.022041,0.000000,0.099980
1:07:13,9000,100000,0.092953,0.102673,0.033791,0.100452,0.069416,0.028085,0.204548,0.077773,1.732754,0.069537,0.059293,0.247743,0.021831,0.194989,0.002184,0.960243,0.068404,0.059066,0.051751,0.016679,0.000000,0.099980
1:07:58,9100,100000,0.130603,0.101915,0.021897,0.056489,0.078728,0.017919,0.265050,0.162992,0.754987,0.058136,0.052428,0.240858,0.026269,0.248133,0.005297,0.842303,0.057900,0.052859,0.071056,0.014546,0.000000,0.099980
