Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:16:00,13300,-0.0747,-0.1552,0.0718,0.0026,2.7477,0.1664,0.0388,0.0216,2.7435
0:16:05,13400,-0.1969,-0.1280,0.0158,0.0065,2.7257,0.1995,0.0432,0.0700,2.6922
0:16:10,13500,-0.0708,-0.2741,0.0830,0.0047,2.7563,0.2461,0.0419,0.0204,2.7155
0:16:14,13600,-0.1211,-0.1473,0.3180,0.0029,2.7103,0.1811,0.0391,0.0424,2.7039
0:16:19,13700,-0.1626,-0.1184,0.0864,0.0030,2.7165,0.1268,0.0380,0.0101,2.7027
0:16:23,13800,-0.0537,-0.1679,0.0253,0.0033,2.6867,0.1577,0.0332,0.0060,2.6729
0:16:28,13900,-0.1515,-0.2917,0.1687,0.0067,2.7222,0.3391,0.0535,0.0084,2.7504
0:16:32,14000,-0.1189,-0.1653,0.1318,0.0018,2.7359,0.1790,0.0386,0.0302,2.7142
0:16:50,14100,-0.2089,0.0139,0.0034,0.0029,2.7112,-0.0021,0.0470,0.0059,2.7623
0:16:54,14200,-0.1397,-0.1266,0.0044,0.0046,2.7258,0.1049,0.0372,0.0096,2.7483
0:16:59,14300,-0.0818,-0.1208,0.0161,0.0032,2.7403,0.1280,0.0346,0.0147,2.7421
0:17:03,14400,0.0177,-0.8655,0.0331,0.0062,2.6691,1.0948,0.0963,0.4284,2.6413
0:17:08,14500,-0.0803,-0.3808,0.0356,0.0031,2.6966,0.3786,0.0517,0.0636,2.7126
0:17:12,14600,-0.1475,-0.1734,0.1420,0.0041,2.7189,0.1632,0.0452,0.0080,2.7695
0:17:17,14700,-0.1889,-0.1386,0.0163,0.0030,2.6534,0.1317,0.0437,0.0120,2.6836
0:17:22,14800,-0.1182,-0.1817,0.0296,0.0044,2.7036,0.1899,0.0416,0.0226,2.7472
0:17:26,14900,-0.3087,0.0778,0.0091,0.0062,2.7310,-0.0555,0.0448,0.0178,2.7204
0:17:31,15000,-0.1718,-0.1595,0.1038,0.0019,2.6668,0.1353,0.0417,0.0455,2.6906
0:17:47,15100,-0.1664,-0.1305,0.0157,0.0034,2.6391,0.1502,0.0435,0.0041,2.7112
0:17:52,15200,-0.1425,-0.1451,0.2681,0.0011,2.6914,0.1622,0.0338,0.1803,2.6539
0:17:56,15300,-0.0385,-0.2360,0.0277,0.0027,2.7036,0.2331,0.0377,0.0261,2.7130
0:18:01,15400,-0.1342,-0.1463,0.0432,0.0043,2.6355,0.1653,0.0380,0.0020,2.6808
0:18:05,15500,-0.1663,-0.1563,0.0122,0.0033,2.7404,0.1371,0.0380,0.0419,2.7134
0:18:10,15600,-0.1400,-0.1431,0.2435,0.0057,2.7448,0.1550,0.0442,0.0013,2.7429
0:18:15,15700,-0.2527,-0.1242,0.0487,0.0020,2.6276,0.1170,0.0430,0.0388,2.6564
0:18:19,15800,-0.1490,-0.1746,0.3039,0.0039,2.7706,0.1527,0.0372,0.0575,2.7747
0:18:24,15900,-0.1503,-0.0765,0.0165,0.0030,2.7081,0.0870,0.0399,0.0013,2.7011
0:18:28,16000,-0.2070,-0.0240,0.0277,0.0020,2.6167,0.0232,0.0383,0.0037,2.5896
0:18:45,16100,-0.1224,-0.1857,0.0071,0.0041,2.7251,0.1761,0.0331,0.0051,2.7074
0:18:49,16200,-0.1509,-0.0963,0.0235,0.0067,2.7153,0.0760,0.0415,0.0003,2.6728
0:18:54,16300,-0.1292,-0.1210,0.0216,0.0011,2.7098,0.1415,0.0325,0.0064,2.7011
0:18:59,16400,-0.1010,-0.2018,0.0116,0.0054,2.7286,0.1940,0.0349,0.0016,2.7306
0:19:03,16500,-0.1117,-0.1210,0.0400,0.0024,2.7226,0.1154,0.0352,0.0438,2.7254
0:19:08,16600,-0.1503,-0.1024,0.2266,0.0020,2.7246,0.1088,0.0365,0.0068,2.6724
0:19:12,16700,-0.0358,-0.2291,0.0431,0.0015,2.7581,0.2302,0.0298,0.0053,2.7179
0:19:17,16800,-0.1254,-0.0993,0.0066,0.0026,2.8400,0.0785,0.0360,0.0061,2.8064
0:19:21,16900,-0.0882,-0.1664,0.4106,0.0023,2.7641,0.1850,0.0348,0.0059,2.7476
0:19:26,17000,-0.1918,-0.1274,0.1873,0.0067,2.7139,0.1668,0.0418,0.0018,2.6976
0:19:43,17100,-0.0869,-0.2350,0.0361,0.0041,2.6583,0.2643,0.0441,0.0011,2.6582
0:19:47,17200,-0.1825,-0.1474,0.3141,0.0034,2.7226,0.1740,0.0400,0.0688,2.7397
0:19:52,17300,-0.0594,-0.1716,0.0841,0.0037,2.7722,0.1637,0.0349,0.0030,2.7668
